"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol","Perubahan%"
"01/03/2024","1105","1090","1110","1090","53,60M","1,38%"
"29/02/2024","1090","1115","1115","1090","132,02M","-2,24%"
"28/02/2024","1115","1125","1125","1105","75,90M","-0,89%"
"27/02/2024","1125","1140","1140","1120","71,32M","-0,88%"
"26/02/2024","1135","1160","1160","1130","67,38M","-2,16%"
"23/02/2024","1160","1185","1185","1155","40,00M","-1,28%"
"22/02/2024","1175","1190","1200","1170","35,01M","-0,42%"
"21/02/2024","1180","1170","1210","1165","75,80M","1,29%"
"20/02/2024","1165","1160","1185","1160","35,10M","-1,27%"
"19/02/2024","1180","1185","1185","1165","31,61M","0,43%"
"16/02/2024","1175","1170","1180","1170","33,62M","0,43%"
"15/02/2024","1170","1160","1185","1155","49,91M","1,74%"
"13/02/2024","1150","1160","1160","1145","21,89M","-0,86%"
"12/02/2024","1160","1155","1165","1140","28,14M","0,43%"
"07/02/2024","1155","1155","1160","1145","21,34M","0,00%"
"06/02/2024","1155","1145","1165","1145","26,22M","1,32%"
"05/02/2024","1140","1140","1155","1130","31,00M","0,44%"
"02/02/2024","1135","1160","1165","1130","33,02M","-2,16%"
"01/02/2024","1160","1170","1195","1145","90,37M","-0,43%"
"31/01/2024","1165","1120","1175","1120","74,32M","4,48%"
"30/01/2024","1115","1130","1130","1115","11,34M","-1,33%"
"29/01/2024","1130","1135","1140","1120","11,15M","0,00%"
"26/01/2024","1130","1145","1145","1125","13,38M","-0,44%"
"25/01/2024","1135","1120","1150","1115","28,02M","0,89%"
"24/01/2024","1125","1120","1130","1110","14,49M","0,90%"
"23/01/2024","1115","1120","1130","1110","23,02M","-0,45%"
"22/01/2024","1120","1145","1150","1110","43,03M","-2,61%"
"19/01/2024","1150","1140","1165","1135","21,88M","0,88%"
"18/01/2024","1140","1140","1145","1130","26,74M","0,00%"
"17/01/2024","1140","1160","1190","1140","86,63M","-2,15%"
"16/01/2024","1165","1155","1170","1150","27,28M","0,87%"
"15/01/2024","1155","1145","1160","1145","22,97M","1,32%"
"12/01/2024","1140","1140","1145","1135","14,59M","0,44%"
"11/01/2024","1135","1135","1145","1130","20,31M","0,00%"
"10/01/2024","1135","1135","1150","1135","19,07M","0,44%"
"09/01/2024","1130","1135","1140","1125","16,68M","-0,44%"
"08/01/2024","1135","1160","1165","1135","33,04M","-2,16%"
"05/01/2024","1160","1150","1170","1140","63,28M","1,31%"
"04/01/2024","1145","1140","1150","1135","30,47M","0,88%"
"03/01/2024","1135","1140","1140","1130","19,88M","-0,44%"
"02/01/2024","1140","1130","1155","1125","40,93M","0,88%"
"29/12/2023","1130","1130","1135","1120","20,04M","0,00%"
"28/12/2023","1130","1100","1140","1100","46,71M","2,73%"
"27/12/2023","1100","1105","1120","1095","35,68M","0,00%"
"22/12/2023","1100","1110","1120","1095","17,81M","0,00%"
