"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol","Perubahan%"
"01/03/2024","2580","2590","2610","2570","8,63M","0,78%"
"29/02/2024","2560","2620","2630","2560","16,56M","-2,29%"
"28/02/2024","2620","2600","2630","2600","5,27M","1,16%"
"27/02/2024","2590","2600","2610","2590","5,65M","0,39%"
"26/02/2024","2580","2640","2640","2580","11,68M","-1,90%"
"23/02/2024","2630","2630","2640","2610","3,93M","0,00%"
"22/02/2024","2630","2610","2650","2600","6,88M","0,77%"
"21/02/2024","2610","2640","2640","2600","7,86M","-1,14%"
"20/02/2024","2640","2690","2690","2640","9,30M","-1,86%"
"19/02/2024","2690","2680","2690","2650","10,04M","0,37%"
"16/02/2024","2680","2680","2690","2650","13,09M","0,75%"
"15/02/2024","2660","2660","2700","2650","10,67M","0,76%"
"13/02/2024","2640","2650","2660","2630","5,62M","-0,38%"
"12/02/2024","2650","2610","2660","2610","11,85M","1,53%"
"07/02/2024","2610","2560","2610","2560","6,50M","1,95%"
"06/02/2024","2560","2550","2570","2540","8,82M","0,79%"
"05/02/2024","2540","2550","2590","2540","8,57M","0,00%"
"02/02/2024","2540","2560","2580","2540","6,28M","-0,78%"
"01/02/2024","2560","2610","2610","2560","12,27M","-1,92%"
"31/01/2024","2610","2610","2660","2600","14,81M","0,77%"
"30/01/2024","2590","2560","2610","2540","8,54M","0,78%"
"29/01/2024","2570","2570","2590","2560","5,58M","0,00%"
"26/01/2024","2570","2600","2600","2540","5,26M","0,00%"
"25/01/2024","2570","2510","2580","2510","9,74M","2,39%"
"24/01/2024","2510","2560","2580","2500","7,82M","-1,18%"
"23/01/2024","2540","2550","2590","2520","8,69M","-0,39%"
"22/01/2024","2550","2610","2630","2550","15,85M","-2,67%"
"19/01/2024","2620","2650","2650","2610","6,35M","-0,76%"
"18/01/2024","2640","2660","2660","2620","8,67M","-0,75%"
"17/01/2024","2660","2700","2720","2660","12,82M","-1,48%"
"16/01/2024","2700","2720","2720","2680","9,77M","-0,37%"
"15/01/2024","2710","2650","2720","2650","20,75M","2,65%"
"12/01/2024","2640","2620","2650","2610","7,29M","0,76%"
"11/01/2024","2620","2650","2650","2610","7,10M","-1,13%"
"10/01/2024","2650","2640","2660","2620","10,35M","0,76%"
"09/01/2024","2630","2640","2650","2590","12,09M","0,00%"
"08/01/2024","2630","2660","2680","2620","14,40M","-1,13%"
"05/01/2024","2660","2650","2700","2650","20,78M","0,38%"
"04/01/2024","2650","2540","2690","2540","36,99M","4,74%"
"03/01/2024","2530","2520","2540","2480","15,78M","0,00%"
"02/01/2024","2530","2440","2550","2440","20,59M","3,69%"
"29/12/2023","2440","2470","2470","2430","8,14M","-0,81%"
"28/12/2023","2460","2440","2470","2440","8,04M","0,82%"
"27/12/2023","2440","2400","2450","2400","10,89M","1,67%"
"22/12/2023","2400","2390","2410","2380","7,31M","0,84%"
"21/12/2023","2380","2370","2390","2350","6,16M","0,85%"
"20/12/2023","2360","2370","2410","2350","9,86M","-0,42%"
"19/12/2023","2370","2340","2370","2330","7,87M","1,72%"
"18/12/2023","2330","2320","2360","2310","11,13M","0,87%"
"15/12/2023","2310","2320","2410","2310","23,17M","0,00%"
"14/12/2023","2310","2300","2340","2300","7,11M","0,43%"
"13/12/2023","2300","2350","2350","2300","10,75M","-2,13%"
"12/12/2023","2350","2380","2400","2340","9,81M","-0,84%"
"11/12/2023","2370","2420","2440","2360","11,90M","-1,66%"
"08/12/2023","2410","2440","2440","2410","10,36M","-0,41%"
"07/12/2023","2420","2410","2440","2400","9,76M","0,41%"
"06/12/2023","2410","2420","2440","2400","7,41M","-0,41%"
"05/12/2023","2420","2470","2470","2420","5,83M","-1,63%"
"04/12/2023","2460","2450","2470","2440","7,55M","1,23%"
"01/12/2023","2430","2440","2450","2430","6,11M","0,41%"
"30/11/2023","2420","2420","2440","2410","6,08M","0,00%"
"29/11/2023","2420","2450","2460","2420","5,82M","-0,82%"
"28/11/2023","2440","2450","2470","2440","4,99M","0,00%"
"27/11/2023","2440","2460","2480","2440","7,94M","-0,81%"
"24/11/2023","2460","2440","2480","2440","5,38M","1,23%"
"23/11/2023","2430","2420","2440","2400","3,26M","0,41%"
"22/11/2023","2420","2440","2490","2420","8,97M","-0,41%"
"21/11/2023","2430","2420","2440","2410","4,34M","0,41%"
"20/11/2023","2420","2400","2440","2400","5,49M","0,83%"
"17/11/2023","2400","2380","2410","2380","4,94M","0,84%"
"16/11/2023","2380","2400","2410","2370","5,02M","-0,83%"
"15/11/2023","2400","2400","2430","2400","7,96M","0,42%"
"14/11/2023","2390","2360","2400","2360","6,85M","1,27%"
"13/11/2023","2360","2340","2370","2340","6,61M","0,85%"
"10/11/2023","2340","2350","2370","2340","5,56M","-0,43%"
"09/11/2023","2350","2350","2370","2330","9,20M","0,86%"
"08/11/2023","2330","2360","2370","2310","10,59M","-1,27%"
"07/11/2023","2360","2400","2410","2350","11,32M","-1,67%"
"06/11/2023","2400","2400","2420","2390","10,39M","0,42%"
"03/11/2023","2390","2390","2420","2380","15,48M","0,42%"
"02/11/2023","2380","2360","2410","2360","14,77M","0,85%"
"01/11/2023","2360","2460","2470","2350","29,75M","-4,84%"
"31/10/2023","2480","2510","2540","2450","35,01M","-4,25%"
"30/10/2023","2590","2660","2680","2590","13,97M","-2,63%"
"27/10/2023","2660","2660","2680","2650","3,87M","0,00%"
"26/10/2023","2660","2690","2700","2640","8,88M","-1,12%"
"25/10/2023","2690","2670","2710","2660","7,82M","0,75%"
"24/10/2023","2670","2660","2690","2660","4,91M","0,38%"
"23/10/2023","2660","2720","2720","2650","15,56M","-2,21%"
"20/10/2023","2720","2700","2720","2670","8,80M","1,12%"
"19/10/2023","2690","2730","2730","2680","10,05M","-1,10%"
"18/10/2023","2720","2720","2750","2700","11,28M","0,00%"
"17/10/2023","2720","2710","2740","2710","4,60M","0,37%"
"16/10/2023","2710","2700","2740","2700","10,69M","0,74%"
"13/10/2023","2690","2740","2740","2690","9,03M","-0,74%"
"12/10/2023","2710","2740","2760","2700","6,97M","-1,09%"
"11/10/2023","2740","2780","2780","2700","14,14M","-0,36%"
"10/10/2023","2750","2750","2780","2740","17,57M","1,10%"
"09/10/2023","2720","2690","2740","2680","17,94M","2,26%"
"06/10/2023","2660","2660","2690","2640","15,05M","0,00%"
"05/10/2023","2660","2680","2710","2650","22,06M","-1,12%"
"04/10/2023","2690","2710","2720","2680","27,67M","-1,82%"
"03/10/2023","2740","2800","2810","2740","29,89M","-2,14%"
"02/10/2023","2800","2810","2830","2790","11,00M","0,00%"
"29/09/2023","2800","2810","2820","2790","13,25M","0,00%"
"27/09/2023","2800","2810","2840","2790","16,73M","-0,36%"
"26/09/2023","2810","2870","2870","2800","12,18M","-1,40%"
"25/09/2023","2850","2870","2890","2840","11,46M","-0,35%"
"22/09/2023","2860","2800","2870","2780","15,15M","1,42%"
"21/09/2023","2820","2870","2870","2810","26,35M","-1,74%"
"20/09/2023","2870","2880","2930","2860","22,57M","-0,35%"
"19/09/2023","2880","2850","2900","2800","24,55M","1,41%"
"18/09/2023","2840","2850","2880","2830","9,01M","-0,35%"
"15/09/2023","2850","2890","2900","2850","15,25M","-1,38%"
"14/09/2023","2890","2860","2910","2860","19,87M","2,12%"
"13/09/2023","2830","2890","2900","2830","22,18M","-1,39%"
"12/09/2023","2870","2890","2910","2870","10,71M","-0,35%"
"11/09/2023","2880","2940","2950","2880","16,39M","-1,71%"
"08/09/2023","2930","2910","2960","2910","12,33M","0,34%"
"07/09/2023","2920","2970","2980","2920","23,29M","-2,34%"
"06/09/2023","2990","2950","3000","2940","40,39M","2,05%"
"05/09/2023","2930","2920","2960","2900","21,27M","0,34%"
"04/09/2023","2920","2880","2960","2880","24,02M","1,39%"
"01/09/2023","2880","2860","2890","2850","9,10M","0,70%"
"31/08/2023","2860","2900","2900","2850","17,42M","-1,72%"
"30/08/2023","2910","2930","2940","2880","26,86M","-1,69%"
"29/08/2023","2960","3000","3010","2960","25,74M","-0,34%"
"28/08/2023","2970","2930","2980","2930","17,60M","2,06%"
"25/08/2023","2910","2940","2950","2880","19,59M","-1,36%"
"24/08/2023","2950","3000","3020","2950","35,08M","-2,32%"
"23/08/2023","3020","3010","3070","3010","64,89M","1,00%"
"22/08/2023","2990","2810","2990","2810","116,09M","6,79%"
"21/08/2023","2800","2800","2820","2790","19,22M","0,36%"
"18/08/2023","2790","2780","2820","2770","21,85M","0,72%"
"16/08/2023","2770","2800","2800","2770","8,95M","-0,72%"
"15/08/2023","2790","2780","2810","2770","15,62M","0,36%"
"14/08/2023","2780","2770","2790","2750","11,76M","0,36%"
"11/08/2023","2770","2800","2800","2770","9,85M","-0,72%"
"10/08/2023","2790","2800","2820","2780","13,46M","0,36%"
"09/08/2023","2780","2770","2800","2760","12,22M","0,36%"
"08/08/2023","2770","2780","2800","2760","12,92M","0,00%"
"07/08/2023","2770","2780","2790","2760","8,80M","-0,36%"
"04/08/2023","2780","2760","2810","2760","17,94M","1,46%"
"03/08/2023","2740","2740","2760","2730","8,72M","0,00%"
"02/08/2023","2740","2730","2760","2720","13,50M","0,37%"
"01/08/2023","2730","2770","2790","2730","23,27M","-1,44%"
"31/07/2023","2770","2790","2820","2760","25,25M","-1,07%"
"28/07/2023","2800","2820","2820","2760","15,41M","-1,06%"
"27/07/2023","2830","2880","2880","2830","19,83M","-1,74%"
"26/07/2023","2880","2860","2890","2850","25,94M","1,05%"
"25/07/2023","2850","2890","2910","2840","51,69M","-1,04%"
"24/07/2023","2880","2820","2880","2800","52,01M","3,23%"
"21/07/2023","2790","2780","2800","2770","16,01M","0,72%"
"20/07/2023","2770","2770","2790","2760","9,10M","0,73%"
"18/07/2023","2750","2790","2800","2750","18,34M","-1,43%"
"17/07/2023","2790","2790","2810","2780","20,97M","0,72%"
"14/07/2023","2770","2740","2790","2740","22,84M","1,09%"
"13/07/2023","2740","2720","2740","2710","16,92M","0,37%"
"12/07/2023","2730","2760","2760","2730","26,43M","-1,09%"
"11/07/2023","2760","2770","2770","2730","24,29M","-0,72%"
"10/07/2023","2780","2770","2800","2770","20,23M","0,36%"
"07/07/2023","2770","2800","2800","2760","26,85M","-1,42%"
"06/07/2023","2810","2790","2830","2790","33,73M","1,08%"
"05/07/2023","2780","2740","2810","2740","47,10M","1,83%"
"04/07/2023","2730","2730","2750","2720","33,91M","0,37%"
"03/07/2023","2720","2670","2750","2660","116,75M","1,49%"
