"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol","Perubahan%"
"07/06/2024","2840","2850","2890","2820","25,35M","-0,35%"
"06/06/2024","2850","2880","2880","2820","24,30M","-0,70%"
"05/06/2024","2870","2900","2910","2840","41,11M","-1,71%"
"04/06/2024","2920","2900","2940","2850","64,39M","-0,34%"
"03/06/2024","2930","2800","2930","2800","84,42M","5,78%"
"31/05/2024","2770","2750","2810","2730","95,44M","1,09%"
"30/05/2024","2740","2680","2770","2680","47,28M","2,24%"
"29/05/2024","2680","2690","2710","2660","23,08M","-0,37%"
"28/05/2024","2690","2600","2710","2600","85,17M","-6,27%"
"27/05/2024","2870","2920","2940","2860","70,61M","-1,71%"
"22/05/2024","2920","2900","2920","2850","31,39M","1,39%"
"21/05/2024","2880","2910","2950","2870","41,19M","-1,03%"
"20/05/2024","2910","2880","2920","2860","27,29M","1,04%"
"17/05/2024","2880","2890","2900","2840","28,09M","0,00%"
"16/05/2024","2880","2840","2890","2840","33,45M","1,77%"
"15/05/2024","2830","2890","2960","2830","44,48M","-1,74%"
"14/05/2024","2880","2950","2950","2870","26,63M","-2,37%"
"13/05/2024","2950","2870","2970","2850","64,34M","2,79%"
"08/05/2024","2870","2810","2870","2810","43,53M","2,14%"
"07/05/2024","2810","2850","2860","2790","25,68M","-1,40%"
"06/05/2024","2850","2760","2850","2730","56,51M","4,40%"
"03/05/2024","2730","2730","2740","2700","20,54M","0,00%"
"02/05/2024","2730","2720","2770","2680","49,49M","0,74%"
