"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol","Perubahan%"
"08/07/2024","1365","1315","1365","1315","61,09M","4,20%"
"05/07/2024","1310","1325","1330","1305","21,98M","-1,13%"
"04/07/2024","1325","1325","1335","1320","46,07M","0,76%"
"03/07/2024","1315","1295","1315","1280","40,06M","1,54%"
"02/07/2024","1295","1310","1315","1280","58,44M","-0,77%"
"01/07/2024","1305","1255","1305","1250","69,30M","4,40%"
"28/06/2024","1250","1235","1265","1230","54,96M","1,63%"
"27/06/2024","1230","1200","1230","1200","24,22M","1,23%"
"26/06/2024","1215","1230","1235","1210","29,66M","-0,82%"
"25/06/2024","1225","1255","1260","1220","29,65M","-2,00%"
"24/06/2024","1250","1235","1260","1235","22,56M","1,63%"
"21/06/2024","1230","1220","1255","1220","56,22M","1,23%"
"20/06/2024","1215","1215","1225","1200","33,48M","0,00%"
"19/06/2024","1215","1215","1225","1175","36,74M","0,41%"
"14/06/2024","1210","1255","1260","1205","48,92M","-3,59%"
"13/06/2024","1255","1270","1285","1255","40,67M","-1,18%"
"12/06/2024","1270","1255","1270","1240","35,96M","1,20%"
"11/06/2024","1255","1240","1280","1240","64,08M","1,21%"
"10/06/2024","1240","1290","1300","1215","98,03M","-4,62%"
"07/06/2024","1300","1320","1350","1300","77,51M","-1,14%"
"06/06/2024","1315","1345","1380","1305","73,53M","-1,87%"
"05/06/2024","1340","1440","1445","1340","111,83M","-6,94%"
"04/06/2024","1440","1470","1485","1435","60,29M","-2,04%"
"03/06/2024","1470","1465","1490","1465","29,62M","0,34%"
"31/05/2024","1465","1490","1510","1465","81,51M","-1,68%"
"30/05/2024","1490","1525","1525","1490","38,24M","-2,30%"
"29/05/2024","1525","1525","1540","1505","27,08M","0,66%"
"28/05/2024","1515","1500","1535","1500","33,68M","1,34%"
"27/05/2024","1495","1525","1535","1490","34,51M","-1,97%"
"22/05/2024","1525","1565","1580","1520","42,18M","-2,56%"
"21/05/2024","1565","1545","1595","1540","59,24M","-5,44%"
"20/05/2024","1655","1645","1670","1645","113,54M","2,16%"
"17/05/2024","1620","1585","1635","1585","88,08M","3,51%"
"16/05/2024","1565","1585","1590","1560","52,89M","0,00%"
"15/05/2024","1565","1535","1575","1535","51,25M","2,62%"
"14/05/2024","1525","1520","1545","1515","31,68M","0,00%"
"13/05/2024","1525","1540","1550","1515","36,49M","-0,65%"
"08/05/2024","1535","1505","1575","1480","109,11M","1,99%"
"07/05/2024","1505","1530","1540","1500","40,34M","-0,66%"
"06/05/2024","1515","1505","1530","1490","41,69M","1,68%"
"03/05/2024","1490","1515","1535","1475","70,35M","-1,32%"
"02/05/2024","1510","1605","1610","1510","100,92M","-7,93%"
"30/04/2024","1640","1625","1640","1600","42,75M","1,55%"
"29/04/2024","1615","1600","1620","1570","44,76M","1,25%"
"26/04/2024","1595","1600","1615","1575","45,11M","0,31%"
"25/04/2024","1590","1680","1695","1585","77,80M","-5,36%"
"24/04/2024","1680","1745","1750","1680","42,66M","-3,45%"
"23/04/2024","1740","1770","1775","1730","53,47M","-1,69%"
"22/04/2024","1770","1780","1800","1760","70,46M","0,57%"
"19/04/2024","1760","1765","1770","1725","86,89M","2,03%"
"18/04/2024","1725","1800","1815","1710","105,26M","-3,90%"
"17/04/2024","1795","1815","1845","1775","97,31M","-0,83%"
"16/04/2024","1810","1685","1810","1680","201,07M","8,38%"
"05/04/2024","1670","1665","1675","1645","35,35M","0,60%"
"04/04/2024","1660","1660","1675","1650","47,64M","0,91%"
"03/04/2024","1645","1650","1660","1630","55,40M","0,30%"
"02/04/2024","1640","1580","1640","1575","46,41M","3,80%"
"01/04/2024","1580","1615","1635","1545","61,27M","-1,25%"
"28/03/2024","1600","1640","1655","1580","62,69M","-2,14%"
"27/03/2024","1635","1665","1675","1625","34,51M","-1,80%"
"26/03/2024","1665","1660","1675","1650","35,07M","0,30%"
"25/03/2024","1660","1670","1685","1650","51,28M","-0,60%"
"22/03/2024","1670","1700","1700","1660","46,31M","-1,76%"
"21/03/2024","1700","1685","1720","1680","85,48M","2,41%"
"20/03/2024","1660","1660","1670","1645","38,43M","0,00%"
"19/03/2024","1660","1665","1690","1660","49,27M","0,30%"
"18/03/2024","1655","1615","1675","1605","66,60M","2,48%"
"15/03/2024","1615","1645","1645","1610","51,84M","-1,82%"
"14/03/2024","1645","1630","1645","1610","69,01M","1,54%"
"13/03/2024","1620","1575","1635","1575","116,31M","3,51%"
"08/03/2024","1565","1595","1600","1550","52,66M","-0,63%"
"07/03/2024","1575","1535","1580","1535","84,82M","3,28%"
"06/03/2024","1525","1465","1540","1465","81,20M","4,45%"
"05/03/2024","1460","1470","1485","1460","37,55M","0,00%"
"04/03/2024","1460","1495","1500","1460","31,71M","-1,35%"
"01/03/2024","1480","1465","1490","1465","27,75M","1,37%"
