Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol,Perubahan%
2024-02-01,1535,1550,1570,1535,"21,24M","-0,97%"
2024-02-02,1525,1535,1550,1525,"46,16M","-0,65%"
2024-02-05,1440,1525,1540,1440,"109,75M","-5,57%"
2024-02-06,1425,1445,1470,1410,"59,46M","-1,04%"
2024-02-07,1410,1430,1440,1405,"52,16M","-1,05%"
2024-02-12,1465,1415,1470,1415,"41,95M","3,90%"
2024-02-13,1545,1515,1580,1485,"140,45M","5,46%"
2024-02-15,1540,1570,1580,1535,"62,45M","-0,32%"
2024-02-16,1530,1545,1560,1530,"27,13M","-0,65%"
2024-02-19,1515,1545,1545,1505,"25,25M","-0,98%"
2024-02-20,1505,1515,1525,1505,"29,69M","-0,66%"
2024-02-21,1470,1505,1515,1455,"49,75M","-2,33%"
2024-02-22,1500,1480,1520,1480,"46,95M","2,04%"
2024-02-23,1550,1525,1550,1505,"58,96M","3,33%"
2024-02-26,1515,1555,1565,1510,"28,49M","-2,26%"
2024-02-27,1480,1515,1515,1470,"45,78M","-2,31%"
2024-02-28,1490,1490,1500,1470,"23,37M","0,68%"
2024-02-29,1460,1495,1505,1460,"48,51M","-2,01%"
2024-03-01,1480,1465,1490,1465,"27,75M","1,37%"
2024-03-04,1460,1495,1500,1460,"31,71M","-1,35%"
2024-03-05,1460,1470,1485,1460,"37,55M","0,00%"
2024-03-06,1525,1465,1540,1465,"81,20M","4,45%"
2024-03-07,1575,1535,1580,1535,"84,82M","3,28%"
2024-03-08,1565,1595,1600,1550,"52,66M","-0,63%"
2024-03-13,1620,1575,1635,1575,"116,31M","3,51%"
2024-03-14,1645,1630,1645,1610,"69,01M","1,54%"
2024-03-15,1615,1645,1645,1610,"51,84M","-1,82%"
2024-03-18,1655,1615,1675,1605,"66,60M","2,48%"
2024-03-19,1660,1665,1690,1660,"49,27M","0,30%"
2024-03-20,1660,1660,1670,1645,"38,43M","0,00%"
2024-03-21,1700,1685,1720,1680,"85,48M","2,41%"
2024-03-22,1670,1700,1700,1660,"46,31M","-1,76%"
2024-03-25,1660,1670,1685,1650,"51,28M","-0,60%"
2024-03-26,1665,1660,1675,1650,"35,07M","0,30%"
2024-03-27,1635,1665,1675,1625,"34,51M","-1,80%"
2024-03-28,1600,1640,1655,1580,"62,69M","-2,14%"
2024-04-01,1580,1615,1635,1545,"61,27M","-1,25%"
2024-04-02,1640,1580,1640,1575,"46,41M","3,80%"
2024-04-03,1645,1650,1660,1630,"55,40M","0,30%"
2024-04-04,1660,1660,1675,1650,"47,64M","0,91%"
2024-04-05,1670,1665,1675,1645,"35,35M","0,60%"
2024-04-16,1810,1685,1810,1680,"201,07M","8,38%"
2024-04-17,1795,1815,1845,1775,"97,31M","-0,83%"
2024-04-18,1725,1800,1815,1710,"105,26M","-3,90%"
2024-04-19,1760,1765,1770,1725,"86,89M","2,03%"
2024-04-22,1770,1780,1800,1760,"70,46M","0,57%"
2024-04-23,1740,1770,1775,1730,"53,47M","-1,69%"
2024-04-24,1680,1745,1750,1680,"42,66M","-3,45%"
2024-04-25,1590,1680,1695,1585,"77,80M","-5,36%"
2024-04-26,1595,1600,1615,1575,"45,11M","0,31%"
2024-04-29,1615,1600,1620,1570,"44,76M","1,25%"
2024-04-30,1640,1625,1640,1600,"42,75M","1,55%"
2024-05-02,1510,1605,1610,1510,"100,92M","-7,93%"
2024-05-03,1490,1515,1535,1475,"70,35M","-1,32%"
2024-05-06,1515,1505,1530,1490,"41,69M","1,68%"
2024-05-07,1505,1530,1540,1500,"40,34M","-0,66%"
2024-05-08,1535,1505,1575,1480,"109,11M","1,99%"
2024-05-13,1525,1540,1550,1515,"36,49M","-0,65%"
2024-05-14,1525,1520,1545,1515,"31,68M","0,00%"
2024-05-15,1565,1535,1575,1535,"51,25M","2,62%"
2024-05-16,1565,1585,1590,1560,"52,89M","0,00%"
2024-05-17,1620,1585,1635,1585,"88,08M","3,51%"
2024-05-20,1655,1645,1670,1645,"113,54M","2,16%"
2024-05-21,1565,1545,1595,1540,"59,24M","-5,44%"
2024-05-22,1525,1565,1580,1520,"42,18M","-2,56%"
2024-05-27,1495,1525,1535,1490,"34,51M","-1,97%"
2024-05-28,1515,1500,1535,1500,"33,68M","1,34%"
2024-05-29,1525,1525,1540,1505,"27,08M","0,66%"
2024-05-30,1490,1525,1525,1490,"38,24M","-2,30%"
2024-05-31,1465,1490,1510,1465,"81,51M","-1,68%"
2024-06-03,1470,1465,1490,1465,"29,62M","0,34%"
2024-06-04,1440,1470,1485,1435,"60,29M","-2,04%"
2024-06-05,1340,1440,1445,1340,"111,83M","-6,94%"
2024-06-06,1315,1345,1380,1305,"73,53M","-1,87%"
2024-06-07,1300,1320,1350,1300,"77,51M","-1,14%"
2024-06-10,1240,1290,1300,1215,"98,03M","-4,62%"
2024-06-11,1255,1240,1280,1240,"64,08M","1,21%"
2024-06-12,1270,1255,1270,1240,"35,96M","1,20%"
2024-06-13,1255,1270,1285,1255,"40,67M","-1,18%"
2024-06-14,1210,1255,1260,1205,"48,92M","-3,59%"
2024-06-19,1215,1215,1225,1175,"36,74M","0,41%"
2024-06-20,1215,1215,1225,1200,"33,48M","0,00%"
2024-06-21,1230,1220,1255,1220,"56,22M","1,23%"
2024-06-24,1250,1235,1260,1235,"22,56M","1,63%"
2024-06-25,1225,1255,1260,1220,"29,65M","-2,00%"
2024-06-26,1215,1230,1235,1210,"29,66M","-0,82%"
2024-06-27,1230,1200,1230,1200,"24,22M","1,23%"
2024-06-28,1250,1235,1265,1230,"54,96M","1,63%"
2024-07-01,1305,1255,1305,1250,"69,30M","4,40%"
2024-07-02,1295,1310,1315,1280,"58,44M","-0,77%"
2024-07-03,1315,1295,1315,1280,"40,06M","1,54%"
2024-07-04,1325,1325,1335,1320,"46,07M","0,76%"
2024-07-05,1310,1325,1330,1305,"21,98M","-1,13%"
2024-07-08,1365,1315,1365,1315,"61,09M","4,20%"
