Tanggal,Terakhir,Vol,Harga_Terprediksi
2014-03-03,874.0,19980000.0,
2014-03-04,874.0,49190000.0,
2014-03-05,907.0,161970000.0,
2014-03-06,949.0,163350000.0,
2014-03-07,949.0,104620000.0,
2014-03-10,924.0,47920000.0,
2014-03-11,937.0,35700000.0,
2014-03-12,920.0,26400000.0,
2014-03-13,928.0,45380000.0,
2014-03-14,928.0,32680000.0,
2014-03-17,924.0,41880000.0,
2014-03-18,945.0,129060000.0,
2014-03-19,991.0,185250000.0,
2014-03-20,949.0,109890000.0,
2014-03-21,953.0,68560000.0,
2014-03-24,970.0,43110000.0,
2014-03-25,962.0,49760000.0,
2014-03-26,962.0,31160000.0,
2014-03-27,953.0,38610000.0,
2014-03-28,953.0,18850000.0,
2014-04-01,962.0,45730000.0,
2014-04-02,958.0,26480000.0,
2014-04-03,970.0,51290000.0,
2014-04-04,962.0,28530000.0,
2014-04-07,949.0,37990000.0,
2014-04-08,945.0,40230000.0,
2014-04-10,920.0,54150000.0,
2014-04-11,907.0,26300000.0,
2014-04-14,945.0,38230000.0,
2014-04-15,928.0,59590000.0,
2014-04-16,941.0,22280000.0,
2014-04-17,945.0,25080000.0,
2014-04-21,953.0,28530000.0,
2014-04-22,970.0,51350000.0,
2014-04-23,1042.0,151970000.0,
2014-04-24,1021.0,94860000.0,
2014-04-25,1004.0,58310000.0,
2014-04-28,1016.0,44380000.0,
2014-04-29,1008.0,18480000.0,
2014-04-30,987.0,38090000.0,
2014-05-02,966.0,34020000.0,
2014-05-05,970.0,32850000.0,
2014-05-06,991.0,96180000.0,
2014-05-07,995.0,72380000.0,
2014-05-08,1008.0,74580000.0,
2014-05-09,1063.0,167470000.0,
2014-05-12,1063.0,82970000.0,
2014-05-13,1063.0,63040000.0,
2014-05-14,1058.0,34860000.0,
2014-05-16,1025.0,62340000.0,
2014-05-19,1008.0,53770000.0,
2014-05-20,1004.0,43860000.0,
2014-05-21,1000.0,17840000.0,
2014-05-22,1050.0,64130000.0,
2014-05-23,1042.0,50370000.0,
2014-05-26,1025.0,12420000.0,
2014-05-28,1033.0,18650000.0,
2014-05-30,1008.0,24660000.0,
