"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol","Perubahan%"
"07/06/2024","1300","1320","1350","1300","77,51M","-1,14%"
"06/06/2024","1315","1345","1380","1305","73,53M","-1,87%"
"05/06/2024","1340","1440","1445","1340","111,83M","-6,94%"
"04/06/2024","1440","1470","1485","1435","60,29M","-2,04%"
"03/06/2024","1470","1465","1490","1465","29,62M","0,34%"
"31/05/2024","1465","1490","1510","1465","81,51M","-1,68%"
"30/05/2024","1490","1525","1525","1490","38,24M","-2,30%"
"29/05/2024","1525","1525","1540","1505","27,08M","0,66%"
"28/05/2024","1515","1500","1535","1500","33,68M","1,34%"
"27/05/2024","1495","1525","1535","1490","34,51M","-1,97%"
"22/05/2024","1525","1565","1580","1520","42,18M","-2,56%"
"21/05/2024","1565","1545","1595","1540","59,24M","-5,44%"
"20/05/2024","1655","1645","1670","1645","113,54M","2,16%"
"17/05/2024","1620","1585","1635","1585","88,08M","3,51%"
"16/05/2024","1565","1585","1590","1560","52,89M","0,00%"
"15/05/2024","1565","1535","1575","1535","51,25M","2,62%"
"14/05/2024","1525","1520","1545","1515","31,68M","0,00%"
"13/05/2024","1525","1540","1550","1515","36,49M","-0,65%"
"08/05/2024","1535","1505","1575","1480","109,11M","1,99%"
"07/05/2024","1505","1530","1540","1500","40,34M","-0,66%"
"06/05/2024","1515","1505","1530","1490","41,69M","1,68%"
"03/05/2024","1490","1515","1535","1475","70,35M","-1,32%"
"02/05/2024","1510","1605","1610","1510","100,92M","-7,93%"
