Tanggal,Terakhir,Vol,Harga_Terprediksi
2024-04-16,750.0,42510000.0,
2024-04-17,725.0,25630000.0,
2024-04-18,750.0,29650000.0,
2024-04-19,750.0,37960000.0,
2024-04-22,745.0,17040000.0,
2024-04-23,730.0,30040000.0,
2024-04-24,750.0,49330000.0,
2024-04-25,775.0,60370000.0,
2024-04-26,775.0,37020000.0,
2024-04-29,785.0,28780000.0,
2024-04-30,780.0,25690000.0,
2024-05-02,745.0,23700000.0,
2024-05-03,780.0,33420000.0,
2024-05-06,785.0,18990000.0,
2024-05-07,830.0,66280000.0,
2024-05-08,820.0,44470000.0,
2024-05-13,800.0,46320000.0,
2024-05-14,785.0,29230000.0,
2024-05-15,785.0,28400000.0,
2024-05-16,810.0,37070000.0,
2024-05-17,815.0,37170000.0,
2024-05-20,835.0,66260000.0,
2024-05-21,835.0,35010000.0,
2024-05-22,815.0,22130000.0,
2024-05-27,775.0,43160000.0,
2024-05-28,805.0,21050000.0,
2024-05-29,805.0,21660000.0,
2024-05-30,815.0,45840000.0,
2024-05-31,770.0,56950000.0,
2024-06-03,790.0,15410000.0,
2024-06-04,800.0,20870000.0,
2024-06-05,715.0,45310000.0,
2024-06-06,720.0,77770000.0,
2024-06-07,715.0,19890000.0,
2024-06-10,,,783.2173082044634
2024-06-11,,,827.9257533290962
2024-06-12,,,820.9449435277685
2024-06-13,,,807.2999962337317
2024-06-14,,,788.5067814622263
2024-06-15,,,789.6945779929903
2024-06-16,,,812.6768737380347
2024-06-17,,,815.6889513893227
2024-06-18,,,838.2937280233496
2024-06-19,,,831.8301124661357
2024-06-20,,,817.4577644303117
2024-06-21,,,780.0635455515621
2024-06-22,,,811.6115146779969
2024-06-23,,,803.1581936619627
2024-06-24,,,821.9459152696921
2024-06-25,,,771.3717833190972
2024-06-26,,,794.3811121533231
2024-06-27,,,799.2617524055223
2024-06-28,,,716.7593221566434
2024-06-29,,,725.5242568353578
