"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol","Perubahan%"
"07/06/2024","715","725","730","705","19,89M","-0,69%"
"06/06/2024","720","725","750","675","77,77M","0,70%"
"05/06/2024","715","795","800","705","45,31M","-10,63%"
"04/06/2024","800","795","820","780","20,87M","1,27%"
"03/06/2024","790","780","800","765","15,41M","2,60%"
"31/05/2024","770","820","825","770","56,95M","-5,52%"
"30/05/2024","815","810","820","780","45,84M","1,24%"
"29/05/2024","805","815","815","800","21,66M","0,00%"
"28/05/2024","805","775","815","775","21,05M","3,87%"
"27/05/2024","775","810","815","765","43,16M","-4,91%"
"22/05/2024","815","840","845","815","22,13M","-2,40%"
"21/05/2024","835","840","845","805","35,01M","0,00%"
"20/05/2024","835","820","860","820","66,26M","2,45%"
"17/05/2024","815","815","830","805","37,17M","0,62%"
"16/05/2024","810","785","825","780","37,07M","3,18%"
"15/05/2024","785","785","805","770","28,40M","0,00%"
"14/05/2024","785","805","815","765","29,23M","-1,88%"
"13/05/2024","800","820","830","790","46,32M","-2,44%"
"08/05/2024","820","830","830","800","44,47M","-1,20%"
"07/05/2024","830","785","845","785","66,28M","5,73%"
"06/05/2024","785","785","790","765","18,99M","0,64%"
"03/05/2024","780","750","785","750","33,42M","4,70%"
"02/05/2024","745","780","780","740","23,70M","-4,49%"
"30/04/2024","780","785","790","770","25,69M","-0,64%"
"29/04/2024","785","775","790","755","28,78M","1,29%"
"26/04/2024","775","775","790","745","37,02M","0,00%"
"25/04/2024","775","755","795","745","60,37M","3,33%"
"24/04/2024","750","735","755","715","49,33M","2,74%"
"23/04/2024","730","755","760","720","30,04M","-2,01%"
"22/04/2024","745","750","760","740","17,04M","-0,67%"
"19/04/2024","750","750","755","730","37,96M","0,00%"
"18/04/2024","750","725","760","710","29,65M","3,45%"
"17/04/2024","725","760","760","715","25,63M","-3,33%"
"16/04/2024","750","710","760","705","42,51M","4,17%"
