"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol","Perubahan%"
"07/06/2024","1590","1605","1615","1585","71,49M","-0,93%"
"06/06/2024","1605","1590","1605","1585","46,98M","1,26%"
"05/06/2024","1585","1620","1625","1575","71,07M","-2,16%"
"04/06/2024","1620","1605","1630","1600","67,74M","1,89%"
"03/06/2024","1590","1600","1620","1590","37,18M","0,63%"
"31/05/2024","1580","1635","1635","1580","65,35M","-3,36%"
"30/05/2024","1635","1615","1650","1565","99,72M","1,55%"
"29/05/2024","1610","1635","1635","1595","47,17M","-1,53%"
"28/05/2024","1635","1590","1640","1570","75,53M","3,48%"
"27/05/2024","1580","1590","1595","1555","43,82M","-0,63%"
"22/05/2024","1590","1565","1615","1565","72,38M","1,60%"
"21/05/2024","1565","1590","1600","1550","43,64M","-0,63%"
"20/05/2024","1575","1525","1600","1520","127,57M","3,96%"
"17/05/2024","1515","1500","1520","1495","24,62M","1,34%"
"16/05/2024","1495","1490","1505","1485","20,14M","0,67%"
"15/05/2024","1485","1480","1510","1470","29,78M","0,34%"
"14/05/2024","1480","1500","1505","1435","75,31M","-2,63%"
"13/05/2024","1520","1520","1530","1500","40,06M","0,00%"
"08/05/2024","1520","1495","1520","1475","59,50M","1,33%"
"07/05/2024","1500","1505","1505","1480","38,24M","-0,33%"
"06/05/2024","1505","1525","1530","1480","46,01M","-0,66%"
"03/05/2024","1515","1465","1515","1460","112,98M","3,77%"
"02/05/2024","1460","1445","1460","1420","73,19M","-0,68%"
"30/04/2024","1470","1430","1485","1415","260,12M","11,36%"
"29/04/2024","1320","1295","1330","1285","38,05M","3,13%"
"26/04/2024","1280","1325","1325","1275","38,71M","-3,03%"
"25/04/2024","1320","1325","1335","1290","45,25M","-0,38%"
"24/04/2024","1325","1375","1380","1315","33,01M","-3,28%"
"23/04/2024","1370","1350","1385","1340","46,47M","2,24%"
"22/04/2024","1340","1355","1375","1340","31,31M","-0,74%"
"19/04/2024","1350","1375","1375","1345","41,56M","-1,82%"
"18/04/2024","1375","1390","1395","1365","32,57M","-1,08%"
"17/04/2024","1390","1380","1405","1370","42,97M","1,46%"
"16/04/2024","1370","1370","1410","1365","91,48M","-0,36%"
