"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol","Perubahan%"
"07/06/2024","2530","2520","2550","2510","7,71M","0,80%"
"06/06/2024","2510","2530","2540","2500","4,89M","-0,79%"
"05/06/2024","2530","2570","2580","2500","10,33M","-1,56%"
"04/06/2024","2570","2590","2590","2560","11,33M","-0,39%"
"03/06/2024","2580","2500","2590","2500","16,72M","3,61%"
"31/05/2024","2490","2500","2520","2490","15,71M","0,00%"
"30/05/2024","2490","2470","2500","2420","9,64M","0,81%"
"29/05/2024","2470","2520","2530","2460","14,74M","-1,59%"
"28/05/2024","2510","2540","2560","2510","11,91M","-0,40%"
"27/05/2024","2520","2600","2600","2520","21,41M","-2,70%"
"22/05/2024","2590","2570","2600","2570","18,23M","0,78%"
"21/05/2024","2570","2550","2640","2530","63,14M","-12,29%"
"20/05/2024","2930","2930","2960","2910","72,08M","0,34%"
"17/05/2024","2920","2930","2950","2910","30,77M","-0,34%"
"16/05/2024","2930","2920","2930","2900","21,54M","0,69%"
"15/05/2024","2910","2940","2950","2900","16,34M","-0,34%"
"14/05/2024","2920","2940","2960","2920","22,33M","-0,34%"
"13/05/2024","2930","2950","2970","2910","20,60M","0,00%"
"08/05/2024","2930","2900","3020","2790","89,51M","1,74%"
"07/05/2024","2880","2940","2950","2870","19,84M","-1,71%"
"06/05/2024","2930","2940","2950","2910","14,82M","0,00%"
"03/05/2024","2930","2910","2950","2890","15,12M","1,38%"
"02/05/2024","2890","2760","2920","2750","45,40M","-4,62%"
"30/04/2024","3030","3000","3030","2980","14,32M","1,00%"
"29/04/2024","3000","2900","3000","2860","11,27M","4,17%"
"26/04/2024","2880","2900","2940","2880","11,56M","-0,35%"
"25/04/2024","2890","2960","2960","2870","23,58M","-2,36%"
"24/04/2024","2960","3080","3100","2870","31,02M","-3,27%"
"23/04/2024","3060","3080","3090","3050","8,42M","-0,65%"
"22/04/2024","3080","3140","3150","3060","19,62M","-1,91%"
"19/04/2024","3140","3130","3150","3090","22,92M","0,32%"
"18/04/2024","3130","3100","3130","3030","26,81M","1,29%"
"17/04/2024","3090","3120","3160","3060","36,78M","-0,32%"
"16/04/2024","3100","2940","3130","2930","58,08M","5,80%"
